game_id,min_players,max_players,avg_players,min_duration,max_duration,avg_duration,min_age,max_age,avg_age,thematics_count,categories_count,cat_Для_компании,cat_Для_двоих,cat_Тематические,cat_Приключенческие_игры,cat_Кооперативные_игры,cat_Для_одного,cat_Карточные_игры,cat_Детективные_игры,cat_Экономические_игры,cat_Вселенная,cat_Лавкрафта,cat_Загадки_и_расследования,cat_Для_коллег,cat_Что_подарить_на_8_марта?,cat_Игры_с_мобильным_приложением,theme_Стратегические_игры,theme_Игры_по_вселенным,theme_Хардкорные_игры,theme_Семейные_игры,theme_Ужас,theme_Вечериночные_игры,theme_Аркхэма.,theme_Аркхэма_(,theme_Arkham,theme_Horror
36,2,4,3.0,120,180,150.0,14,0,7.0,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
37,2,5,3.5,30,45,37.5,7,0,3.5,5,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
38,1,4,2.5,120,180,150.0,13,0,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,4,2.5,60,120,90.0,10,0,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,5,3.5,30,40,35.0,12,0,6.0,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
41,1,3,2.0,120,150,135.0,13,0,6.5,2,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
42,1,5,3.0,90,120,105.0,16,0,8.0,3,5,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,1,4,2.5,30,120,75.0,18,0,9.0,4,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
44,1,4,2.5,30,45,37.5,11,0,5.5,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,1,4,2.5,60,90,75.0,12,0,6.0,2,11,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
46,2,4,3.0,30,30,30.0,8,0,4.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,4,2.5,180,240,210.0,13,0,6.5,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
48,2,5,3.5,40,80,60.0,8,0,4.0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
49,1,4,2.5,40,80,60.0,10,0,5.0,3,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
50,4,16,10.0,30,60,45.0,18,0,9.0,2,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,1,2,1.5,60,120,90.0,18,0,9.0,13,7,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1
52,2,4,3.0,60,120,90.0,12,0,6.0,3,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
53,1,4,2.5,120,180,150.0,13,0,6.5,2,6,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,3,4,3.5,60,60,60.0,10,0,5.0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
55,2,5,3.5,35,0,17.5,7,0,3.5,2,5,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
56,1,4,2.5,90,120,105.0,18,0,9.0,4,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
57,2,5,3.5,45,60,52.5,18,0,9.0,2,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,3,6,4.5,20,30,25.0,18,0,9.0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,3,6,4.5,60,120,90.0,12,0,6.0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,2,5,3.5,30,60,45.0,8,0,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
