user_id,age,city,total_games_played,unique_games_played,avg_rating,avg_duration_minutes,games_in_collection,top_theme_1,top_theme_2,top_theme_3,has_history
1,0,,2,2,4.0,60.0,0,Ужас,Аркхэма.,Карточная игра,1
2,0,,2,2,5.0,60.0,4,Ужас,Аркхэма.,Карточная игра,1
