game_id,name,min_players,max_players,avg_players,min_duration,max_duration,avg_duration,min_age,max_age,avg_age,thematics_raw,categories_raw,thematics_list,categories_list,thematics_count,categories_count,cat_Для_компании,cat_Для_двоих,cat_Тематические,cat_Приключенческие_игры,cat_Кооперативные_игры,cat_Для_одного,cat_Карточные_игры,cat_Детективные_игры,cat_Экономические_игры,cat_Вселенная,cat_Лавкрафта,cat_Загадки_и_расследования,cat_Для_коллег,cat_Что_подарить_на_8_марта?,cat_Игры_с_мобильным_приложением,theme_Стратегические_игры,theme_Игры_по_вселенным,theme_Хардкорные_игры,theme_Семейные_игры,theme_Ужас,theme_Вечериночные_игры,theme_Аркхэма.,theme_Аркхэма_(,theme_Arkham,theme_Horror
53,Fallout,1,4,2.5,120,180,150.0,13,0,6.5,"Игры по вселенным, Fallout","Тематические, Для одного, Для двоих, Понравится подростку, Игры для студентов, Приключенческие игры","['Игры по вселенным', 'Fallout']","['Тематические', 'Для одного', 'Для двоих', 'Понравится подростку', 'Игры для студентов', 'Приключенческие игры']",2,6,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,CATAN: 3D Edition,3,4,3.5,60,60,60.0,10,0,5.0,"Стратегические игры, Семейные игры, Catan (, Колонизаторы)","На английском языке, Экономические игры","['Стратегические игры', 'Семейные игры', 'Catan (', 'Колонизаторы)']","['На английском языке', 'Экономические игры']",4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
55,Каркассон,2,5,3.5,35,0,17.5,7,0,3.5,"Семейные игры, Каркассон","Тематические, Что подарить на 8 марта?, Для двоих, Для компании, Для коллег","['Семейные игры', 'Каркассон']","['Тематические', 'Что подарить на 8 марта?', 'Для двоих', 'Для компании', 'Для коллег']",2,5,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
56,Миддара: Непреднамеренное зло. Акт 1,1,4,2.5,90,120,105.0,18,0,9.0,"Миддара, Хардкорные игры, Стратегические игры, Игры по вселенным","Для одного, Для двоих, Приключенческие игры","['Миддара', 'Хардкорные игры', 'Стратегические игры', 'Игры по вселенным']","['Для одного', 'Для двоих', 'Приключенческие игры']",4,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
57,Эпичные схватки боевых магов: Крутагидон,2,5,3.5,45,60,52.5,18,0,9.0,"Вечериночные игры, Эпичные схватки боевых магов","Тематические, Для взрослых 18+, Для компании, Карточные игры, Игры для студентов","['Вечериночные игры', 'Эпичные схватки боевых магов']","['Тематические', 'Для взрослых 18+', 'Для компании', 'Карточные игры', 'Игры для студентов']",2,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,Страдающее Средневековье,3,6,4.5,20,30,25.0,18,0,9.0,"Вечериночные игры, Страдающее, Средневековье","Для компании, Карточные игры","['Вечериночные игры', 'Страдающее', 'Средневековье']","['Для компании', 'Карточные игры']",3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,Манчкин: Биг Босс,3,6,4.5,60,120,90.0,12,0,6.0,"Вечериночные игры, Манчкин, Подарочные издания","Для компании, Карточные игры","['Вечериночные игры', 'Манчкин', 'Подарочные издания']","['Для компании', 'Карточные игры']",3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,Ticket to Ride: Европа,2,5,3.5,30,60,45.0,8,0,4.0,"Ticket to, Ride: 20 лет жизни, Алана, Муна до и после",,"['Ticket to', 'Ride: 20 лет жизни', 'Алана', 'Муна до и после']",[],4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Ужас Аркхэма. Карточная игра: Затонувший город. Сыщики,1,4,2.5,60,120,90.0,18,0,9.0,"Колоды сыщиков, Затонувший город, Ужас, Аркхэма., Карточная игра, Живые карточные игры (, L, C, G)","Тематические, Вселенная, Лавкрафта, Кооперативные игры","['Колоды сыщиков', 'Затонувший город', 'Ужас', 'Аркхэма.', 'Карточная игра', 'Живые карточные игры (', 'L', 'C', 'G)']","['Тематические', 'Вселенная', 'Лавкрафта', 'Кооперативные игры']",9,4,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
62,Cyberpunk 2077: Банды Найт-Сити,1,4,2.5,90,120,105.0,13,0,6.5,"Cyberpunk 2077:, Банды, Найт-, Сити, Хардкорные игры, Стратегические игры",Для одного,"['Cyberpunk 2077:', 'Банды', 'Найт-', 'Сити', 'Хардкорные игры', 'Стратегические игры']",['Для одного'],6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
63,Ticket to Ride. Наследие: Легенды Запада,2,5,3.5,20,90,55.0,11,0,5.5,"Ticket to, Ride: 20 лет жизни, Алана, Муна до и после",,"['Ticket to', 'Ride: 20 лет жизни', 'Алана', 'Муна до и после']",[],4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Мачи Коро,2,5,3.5,30,45,37.5,7,0,3.5,"Семейные игры, Мачи, Коро","Тематические, Для двоих, Для компании, Для коллег, Карточные игры, Экономические игры","['Семейные игры', 'Мачи', 'Коро']","['Тематические', 'Для двоих', 'Для компании', 'Для коллег', 'Карточные игры', 'Экономические игры']",3,6,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
65,Лорды Ваалы: Связь Драконов,1,4,2.5,60,60,60.0,14,0,7.0,Стратегические игры,"Тематические, Для одного, Для двоих",['Стратегические игры'],"['Тематические', 'Для одного', 'Для двоих']",1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,Набор игр,1,4,2.5,30,120,75.0,18,0,9.0,"Oathsworn:, Верные клятве, Наборы игр",,"['Oathsworn:', 'Верные клятве', 'Наборы игр']",[],3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Городской убийца,2,4,3.0,60,60,60.0,16,0,8.0,"Интервью с создателями, Городского убийцы",,"['Интервью с создателями', 'Городского убийцы']",[],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Диамант,3,8,5.5,30,30,30.0,8,0,4.0,Семейные игры,"Для компании, Приключенческие игры",['Семейные игры'],"['Для компании', 'Приключенческие игры']",1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,Зомби в доме: Заражение,2,4,3.0,40,60,50.0,12,0,6.0,"Семейные игры, Зомби в доме","Тематические, Что подарить на 8 марта?, Для компании, Кооперативные игры, Приключенческие игры","['Семейные игры', 'Зомби в доме']","['Тематические', 'Что подарить на 8 марта?', 'Для компании', 'Кооперативные игры', 'Приключенческие игры']",2,5,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
70,Серп,1,5,3.0,115,115,115.0,14,0,7.0,"Хардкорные игры, Стратегические игры, Серп","Для двоих, Для компании","['Хардкорные игры', 'Стратегические игры', 'Серп']","['Для двоих', 'Для компании']",3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
71,Древний ужас,1,8,4.5,120,240,180.0,18,0,9.0,"Древний, Ужас, Игры по вселенным, Ужас, Аркхэма (, Arkham, Horror, Files)","Тематические, Детективные игры, Вселенная, Лавкрафта, Для одного, Для двоих, Для компании, Для коллег, Загадки и расследования, Кооперативные игры, Приключенческие игры","['Древний', 'Ужас', 'Игры по вселенным', 'Ужас', 'Аркхэма (', 'Arkham', 'Horror', 'Files)']","['Тематические', 'Детективные игры', 'Вселенная', 'Лавкрафта', 'Для одного', 'Для двоих', 'Для компании', 'Для коллег', 'Загадки и расследования', 'Кооперативные игры', 'Приключенческие игры']",8,11,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1
72,Сумерки империи. Четвёртое издание,3,6,4.5,240,480,360.0,13,0,6.5,"Космос ближе, чем кажется, Сумерки, Империи, Хардкорные игры, Стратегические игры, Игры по вселенным",Тематические,"['Космос ближе', 'чем кажется', 'Сумерки', 'Империи', 'Хардкорные игры', 'Стратегические игры', 'Игры по вселенным']",['Тематические'],7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
73,Ужас Аркхэма. Третья редакция,1,6,3.5,120,180,150.0,14,0,7.0,"Хардкорные игры, Ужас, Аркхэма., Настольная игра, Игры по вселенным, Ужас, Аркхэма (, Arkham, Horror, Files)","Тематические, Детективные игры, Вселенная, Лавкрафта, Для компании, Загадки и расследования, Кооперативные игры, Приключенческие игры","['Хардкорные игры', 'Ужас', 'Аркхэма.', 'Настольная игра', 'Игры по вселенным', 'Ужас', 'Аркхэма (', 'Arkham', 'Horror', 'Files)']","['Тематические', 'Детективные игры', 'Вселенная', 'Лавкрафта', 'Для компании', 'Загадки и расследования', 'Кооперативные игры', 'Приключенческие игры']",10,8,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1
74,Зомбицид. Вторая редакция,1,6,3.5,60,0,30.0,18,0,9.0,"Вторая редакция, Хардкорные игры, Игры по вселенным, Зомбицид","Для двоих, Кооперативные игры, Приключенческие игры","['Вторая редакция', 'Хардкорные игры', 'Игры по вселенным', 'Зомбицид']","['Для двоих', 'Кооперативные игры', 'Приключенческие игры']",4,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
75,Битва за Рокуган,2,5,3.5,60,90,75.0,13,0,6.5,"Хардкорные игры, Коробочные варгеймы, Стратегические игры","Тематические, Для двоих, Для компании","['Хардкорные игры', 'Коробочные варгеймы', 'Стратегические игры']","['Тематические', 'Для двоих', 'Для компании']",3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
76,Агрикола. Юбилейное издание,1,4,2.5,90,90,90.0,12,0,6.0,"Агрикола, Хардкорные игры, Стратегические игры, Подарочные издания","Для одного, Для двоих, Для компании, Экономические игры","['Агрикола', 'Хардкорные игры', 'Стратегические игры', 'Подарочные издания']","['Для одного', 'Для двоих', 'Для компании', 'Экономические игры']",4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
77,Манчкин,3,6,4.5,30,0,15.0,12,0,6.0,"Всё о линейке, Манчкин",,"['Всё о линейке', 'Манчкин']",[],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Gloomhaven. Мрачная гавань: Челюсти льва,1,4,2.5,30,120,75.0,13,0,6.5,"Gloomhaven, Хардкорные игры, Стратегические игры, Игры по вселенным","Тематические, Кооперативные игры, Приключенческие игры","['Gloomhaven', 'Хардкорные игры', 'Стратегические игры', 'Игры по вселенным']","['Тематические', 'Кооперативные игры', 'Приключенческие игры']",4,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
79,Гонка: Туннельное зрение,1,7,4.0,60,60,60.0,10,0,5.0,"Гонка:, Жара на трассе",,"['Гонка:', 'Жара на трассе']",[],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Пуньк!,2,2,2.0,20,20,20.0,7,0,3.5,"Семейные игры, Абстрактные игры","Тематические, Дуэльные игры","['Семейные игры', 'Абстрактные игры']","['Тематические', 'Дуэльные игры']",2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,Каркассон: Big Box,2,6,4.0,35,0,17.5,7,0,3.5,"Семейные игры, Каркассон, Подарочные издания","Для двоих, Для компании","['Семейные игры', 'Каркассон', 'Подарочные издания']","['Для двоих', 'Для компании']",3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,Ярость Дракулы. Третья редакция,2,5,3.5,120,180,150.0,13,0,6.5,"Хардкорные игры, Игры по вселенным","Детективные игры, Для двоих, Для компании, Загадки и расследования, Кооперативные игры, Полукооперативные игры, Приключенческие игры","['Хардкорные игры', 'Игры по вселенным']","['Детективные игры', 'Для двоих', 'Для компании', 'Загадки и расследования', 'Кооперативные игры', 'Полукооперативные игры', 'Приключенческие игры']",2,7,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
83,Звёздные империи: Наследие,2,6,4.0,20,60,40.0,12,0,6.0,"Космос ближе, чем кажется, Стратегические игры, Звёздные, Империи","Тематические, Для двоих, Для компании, Карточные игры, Игры про космос","['Космос ближе', 'чем кажется', 'Стратегические игры', 'Звёздные', 'Империи']","['Тематические', 'Для двоих', 'Для компании', 'Карточные игры', 'Игры про космос']",5,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84,Runebound. Третья редакция,2,4,3.0,120,180,150.0,14,0,7.0,"Хардкорные игры, Игры по вселенным, Runebound","Для двоих, Для компании, Приключенческие игры","['Хардкорные игры', 'Игры по вселенным', 'Runebound']","['Для двоих', 'Для компании', 'Приключенческие игры']",3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
85,Набор игр,2,5,3.5,30,45,37.5,7,0,3.5,"Стратегические игры, Семейные игры, Мачи, Коро, Наборы игр","Для двоих, Для компании, Дуэльные игры, Карточные игры, Экономические игры","['Стратегические игры', 'Семейные игры', 'Мачи', 'Коро', 'Наборы игр']","['Для двоих', 'Для компании', 'Дуэльные игры', 'Карточные игры', 'Экономические игры']",5,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
86,Fallout: Атомные узы,1,4,2.5,120,180,150.0,13,0,6.5,Fallout,,['Fallout'],[],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Изнанка,1,4,2.5,60,120,90.0,10,0,5.0,"Интервью с создателями игры, Изнанка",,"['Интервью с создателями игры', 'Изнанка']",[],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Королевская ставка,2,5,3.5,30,40,35.0,12,0,6.0,"Хардкорные игры, Стратегические игры","Для двоих, Для компании, Карточные игры","['Хардкорные игры', 'Стратегические игры']","['Для двоих', 'Для компании', 'Карточные игры']",2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
89,Предназначение,1,3,2.0,120,150,135.0,13,0,6.5,"Предназначение, Игры по вселенным","Для одного, Для двоих, Игры с мобильным приложением, Приключенческие игры","['Предназначение', 'Игры по вселенным']","['Для одного', 'Для двоих', 'Игры с мобильным приложением', 'Приключенческие игры']",2,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
90,Ктулху: Смерть может умереть. Страх неведомого,1,5,3.0,90,120,105.0,16,0,8.0,"Ктулху:, Смерть может умереть, Игры по вселенным","Тематические, Вселенная, Лавкрафта, Для компании, Кооперативные игры","['Ктулху:', 'Смерть может умереть', 'Игры по вселенным']","['Тематические', 'Вселенная', 'Лавкрафта', 'Для компании', 'Кооперативные игры']",3,5,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,Oathsworn: Верные клятве. Тайны Темнолесья,1,4,2.5,30,120,75.0,18,0,9.0,"Oathsworn:, Верные клятве, Хардкорные игры, Игры по вселенным","Для двоих, Для компании, Кооперативные игры, Приключенческие игры","['Oathsworn:', 'Верные клятве', 'Хардкорные игры', 'Игры по вселенным']","['Для двоих', 'Для компании', 'Кооперативные игры', 'Приключенческие игры']",4,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
92,Хутан,1,4,2.5,30,45,37.5,11,0,5.5,Семейные игры,"Тематические, Для одного",['Семейные игры'],"['Тематические', 'Для одного']",1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,Место преступления,1,4,2.5,60,90,75.0,12,0,6.0,"Игры по вселенным, Место преступления","Фанату детективов, Тематические, Детективные игры, Для компании, Загадки и расследования, Игры с мобильным приложением, Игры, чтобы занять детей, Понравится подростку, Кооперативные игры, Логические игры","['Игры по вселенным', 'Место преступления']","['Фанату детективов', 'Тематические', 'Детективные игры', 'Для компании', 'Загадки и расследования', 'Игры с мобильным приложением', 'Игры', 'чтобы занять детей', 'Понравится подростку', 'Кооперативные игры', 'Логические игры']",2,11,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
94,Подземелья и пёсики,2,4,3.0,30,30,30.0,8,0,4.0,"Интервью с создателями игры, Подземелья и пёсики",,"['Интервью с создателями игры', 'Подземелья и пёсики']",[],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Descent: Сказания тьмы,1,4,2.5,180,240,210.0,13,0,6.5,"Хардкорные игры, Игры по вселенным, Descent","Игры с мобильным приложением, Кооперативные игры, Приключенческие игры","['Хардкорные игры', 'Игры по вселенным', 'Descent']","['Игры с мобильным приложением', 'Кооперативные игры', 'Приключенческие игры']",3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
96,Small World: Маленький мир,2,5,3.5,40,80,60.0,8,0,4.0,"Стратегические игры, Семейные игры, Small, World (, Маленький, Мир)","Что подарить на 8 марта?, Для компании, Для коллег, Продвинутые семейные игры","['Стратегические игры', 'Семейные игры', 'Small', 'World (', 'Маленький', 'Мир)']","['Что подарить на 8 марта?', 'Для компании', 'Для коллег', 'Продвинутые семейные игры']",6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
