,Name,Count_Gamers,Time,Age,Thematics,Categories
71,Сумерки империи. Четвёртое издание,3-6,240-480,13+,"['Космос ближе, чем кажется', 'Сумерки ', 'Империи', 'Хардкорные игры', 'Стратегические игры', 'Игры по вселенным']",['Тематические']
72,Ужас Аркхэма. Третья редакция,1-6,120-180,14+,"['Хардкорные игры', 'Ужас ', 'Аркхэма. ', 'Настольная игра', 'Игры по вселенным', 'Ужас ', 'Аркхэма (', 'Arkham ', 'Horror ', 'Files)']","['Тематические', 'Детективные игры', 'Вселенная ', 'Лавкрафта', 'Для компании', 'Загадки и расследования', 'Кооперативные игры', 'Приключенческие игры']"
73,Зомбицид. Вторая редакция,1-6,60+,18+,"['Вторая редакция', 'Хардкорные игры', 'Игры по вселенным', 'Зомбицид']","['Для двоих', 'Кооперативные игры', 'Приключенческие игры']"
74,Битва за Рокуган,2-5,60-90,13+,"['Хардкорные игры', 'Коробочные варгеймы', 'Стратегические игры']","['Тематические', 'Для двоих', 'Для компании']"
75,Агрикола. Юбилейное издание,1-4,90,12+,"['Агрикола', 'Хардкорные игры', 'Стратегические игры', 'Подарочные издания']","['Для одного', 'Для двоих', 'Для компании', 'Экономические игры']"
76,Манчкин,3-6,30+,12+,"['Всё о линейке ""', 'Манчкин""']",[]
77,Gloomhaven. Мрачная гавань: Челюсти льва,1-4,30-120,13+,"['Gloomhaven', 'Хардкорные игры', 'Стратегические игры', 'Игры по вселенным']","['Тематические', 'Кооперативные игры', 'Приключенческие игры']"
78,Гонка: Туннельное зрение,1-7,60,10+,"['Гонка: ', 'Жара на трассе']",[]
79,Пуньк!,2,20,7+,"['Семейные игры', 'Абстрактные игры']","['Тематические', 'Дуэльные игры']"
80,Каркассон: Big Box,2-6,35+,7+,"['Семейные игры', 'Каркассон', 'Подарочные издания']","['Для двоих', 'Для компании']"
81,Ярость Дракулы. Третья редакция,2-5,120-180,13+,"['Хардкорные игры', 'Игры по вселенным']","['Детективные игры', 'Для двоих', 'Для компании', 'Загадки и расследования', 'Кооперативные игры', 'Полукооперативные игры', 'Приключенческие игры']"
82,Звёздные империи: Наследие,2-6,20-60,12+,"['Космос ближе, чем кажется', 'Стратегические игры', 'Звёздные ', 'Империи']","['Тематические', 'Для двоих', 'Для компании', 'Карточные игры', 'Игры про космос']"
83,Runebound. Третья редакция,2-4,120-180,14+,"['Хардкорные игры', 'Игры по вселенным', 'Runebound']","['Для двоих', 'Для компании', 'Приключенческие игры']"
84,Набор игр ,2-5,30-45,7+,"['Стратегические игры', 'Семейные игры', 'Мачи ', 'Коро', 'Наборы игр']","['Для двоих', 'Для компании', 'Дуэльные игры', 'Карточные игры', 'Экономические игры']"
85,Fallout: Атомные узы,1-4,120-180,13+,['Fallout'],[]
86,Изнанка,1-4,60-120,10+,"['Интервью с создателями игры ""', 'Изнанка""']",[]
87,Королевская ставка,2-5,30-40,12+,"['Хардкорные игры', 'Стратегические игры']","['Для двоих', 'Для компании', 'Карточные игры']"
88,Предназначение,1-3,120-150,13+,"['Предназначение', 'Игры по вселенным']","['Для одного', 'Для двоих', 'Игры с мобильным приложением', 'Приключенческие игры']"
89,Ктулху: Смерть может умереть. Страх неведомого,1-5,90-120,16+,"['Ктулху: ', 'Смерть может умереть', 'Игры по вселенным']","['Тематические', 'Вселенная ', 'Лавкрафта', 'Для компании', 'Кооперативные игры']"
90,Oathsworn: Верные клятве. Тайны Темнолесья,1-4,30-120,18+,"['Oathsworn: ', 'Верные клятве', 'Хардкорные игры', 'Игры по вселенным']","['Для двоих', 'Для компании', 'Кооперативные игры', 'Приключенческие игры']"
91,Хутан,1-4,30-45,11+,['Семейные игры'],"['Тематические', 'Для одного']"
92,Место преступления,1-4,60-90,12+,"['Игры по вселенным', 'Место преступления']","['Фанату детективов', 'Тематические', 'Детективные игры', 'Для компании', 'Загадки и расследования', 'Игры с мобильным приложением', 'Игры, чтобы занять детей', 'Понравится подростку', 'Кооперативные игры', 'Логические игры']"
93,Подземелья и пёсики,2-4,30,8+,"['Интервью с создателями игры ""', 'Подземелья и пёсики""']",[]
94,Descent: Сказания тьмы,1-4,180-240,13+,"['Хардкорные игры', 'Игры по вселенным', 'Descent']","['Игры с мобильным приложением', 'Кооперативные игры', 'Приключенческие игры']"
95,Small World: Маленький мир,2-5,40-80,8+,"['Стратегические игры', 'Семейные игры', 'Small ', 'World (', 'Маленький ', 'Мир)']","['Что подарить на 8 марта?', 'Для компании', 'Для коллег', 'Продвинутые семейные игры']"
